2024-11-08 @Clemson                  88  St Francis PA            62            
2024-11-08 @Queens NC                67  W Carolina               54            
2024-11-08 @E Michigan               83  Siena Hts                58            
2024-11-08 @Stanford                 80  CS Fullerton             53            
2024-11-08 @Fresno St                64  CS Sacramento            57            
2024-11-08 @Cincinnati               83  Morehead St              56            
2024-11-08 @FL Atlantic              99  Coastal GA               49            
2024-11-08 @Col Charleston           86  South Florida            71            
2024-11-08 @Denver                   97  Western St CO            80            
2024-11-08 @Marquette                82  George Mason             63            
2024-11-08  Arizona St               81  Santa Clara              74           Henderson, NV 
2024-11-08 @G Washington             82  Hampton                  54            
2024-11-08 @Navy                     85  Harvard                  80            
2024-11-08 @Rhode Island             91  Holy Cross               77            
2024-11-08 @Alabama                  88  Arkansas St              79            
2024-11-08 @Xavier                   94  IUPUI                    80            
2024-11-08 @Missouri                 77  Howard                   62            
2024-11-08 @Ball St                  87  Franklin                 60            
2024-11-08  Furman                   76 @Belmont                  74            
2024-11-08  Pacific                  80  San Jose St              67           Honolulu, HI 
2024-11-08 @Pittsburgh               83  Murray St                68            
2024-11-08 @Radford                  89  William & Mary           77            
2024-11-08 @Buffalo                  87  SUNY Fredonia            78            
2024-11-08 @Texas                    90  Houston Chr              59            
2024-11-08 @San Diego                74  Boston Univ              60            
2024-11-08 @Towson                   89  PSU Wilkes-Barre         34            
2024-11-08 @Tulane                   80  ULM                      64            
2024-11-08 @UNC Wilmington           92  Ga Southern              84            
2024-11-08 @Washington St            91  Bradley                  74            
2024-11-08 @Valparaiso              111  Concordia MI             46            
2024-11-08 @Villanova                91  NJIT                     54            
2024-11-08  St Thomas MN             90 @WI Green Bay             76            
2024-11-08 @IL Chicago               91  Yale                     79            
2024-11-08 @Incarnate Word           97  SW Univ TX               53            
2024-11-08 @UCF                      75  PFW                      68            
2024-11-08 @Penn St                 103  UMBC                     54            
2024-11-08 @Texas A&M                87  East Texas A&M           55            
2024-11-08 @South Carolina           86  S Carolina St            64            
2024-11-08 @Mississippi              66  Grambling                64            
2024-11-08 @Texas Tech               86  Northwestern LA          65            
2024-11-09 @Longwood                 84  Morgan St                66            
2024-11-09 @SUNY Albany              89  SUNY Oneonta             69            
2024-11-09 @Columbia                 83  Delaware St              62            
2024-11-09 @Elon                    103  Bluefield Univ           66            
2024-11-09 @Arizona                 102  Old Dominion             44            
2024-11-09 @Norfolk St               83  James Madison            69            
2024-11-09 @Le Moyne                107  SUNY Poly                73            
2024-11-09 @UC San Diego             94  Pepperdine               76            
2024-11-09  UC Santa Barbara         94 @Portland                 53            
2024-11-09  Sam Houston St           91 @Tarleton St              62            
2024-11-09 @San Francisco            84  Boise St                 73            
2024-11-09 @Southern Utah            80  Florida Intl             75            
2024-11-09 @Utah Valley              89  UTEP                     60            
2024-11-09 @Merrimack                65  Vermont                  51            
2024-11-09  Youngstown St            80 @Chicago St               60            
2024-11-09 @LIU Brooklyn            102  Pratt Inst               42            
2024-11-09 @Tulsa                   103  Ark Pine Bluff           80            
2024-11-09  Louisiana Tech           92 @UT Arlington             77            
2024-11-09 @Grand Canyon             74  WKU                      72            
