Chattanooga,9946,Citadel,54,0,236289.29999999993
Furman,7415,VMI,2585,0,60938.10000000006
Gonzaga,5338,St Mary's CA,4662,0,8376.100000000017
Grand Canyon,8342,Cal Baptist,1658,0,86999.99999998379
Duke,7683,Illinois,2317,0,66287.20000000382
Jacksonville St,8007,UTEP,1993,0,76517.29999999984
Kennesaw,7833,New Mexico St,2167,0,68923.39999999988
Liberty,9832,Florida Intl,168,0,191000.0000000347
Loy Marymount,8094,Pepperdine,1906,0,77923.8000000001
LSU,972,Florida,9028,0,-117795.49999999988
Mercer,2288,UNC Greensboro,7712,0,-66220.09999999993
MTSU,8610,Sam Houston St,1390,0,96686.49999999987
Morehead St,7468,E Illinois,2532,0,58945.20000000025
NE Omaha,7959,South Dakota,2041,0,74760.59999999999
North Dakota,2781,N Dakota St,7219,0,-52842.00000000131
N Illinois,3629,E Michigan,6371,0,-32362.9999999999
Ohio,2919,Akron,7081,0,-49268.80000000029
Oklahoma,5068,Mississippi St,4932,0,23.5999999999999
Oral Roberts,1510,St Thomas MN,8490,0,-93713.60000000025
Pacific,4314,Portland,5686,0,-14931.499999999975
Samford,9567,W Carolina,433,0,153018.10000000388
San Diego,1238,Oregon St,8762,0,-103912.2999999997
South Carolina,4465,Texas,5535,0,-11159.100000000035
SE Missouri St,9477,Lindenwood,523,0,145499.10000000717
Southern Indiana,1675,SIUE,8325,0,-88532.80000000006
Tennessee Tech,5998,Tennessee St,4002,0,23015.999999999964
Texas A&M,6165,Tennessee,3835,0,25753.000000000106
Ark Little Rock,9653,W Illinois,347,0,160433.20000001206
UT Arlington,7546,Tarleton St,2454,0,60999.99999999005
Utah Valley,8842,Seattle,1158,0,104328.30000000077
Vanderbilt,5178,Mississippi,4822,0,5638.599999999945
Washington St,4957,Santa Clara,5043,0,-310.30000000000297
WKU,6315,Louisiana Tech,3685,0,29956.999999999938
W Michigan,5604,C Michigan,4396,0,13531.099999999957
Wofford,6937,ETSU,3063,0,45170.30000000009
Long Beach St,2864,UC Santa Barbara,7136,0,-49910.59999999459
CS Bakersfield,1473,UC Irvine,8527,0,-92837.20000000016
Idaho St,9192,CS Sacramento,808,0,128991.79999999984
Jackson St,7214,Alcorn St,2786,0,55000.0
Troy,9881,Coastal Car,119,0,198644.80000001003
Coppin St,973,Norfolk St,9027,0,-115000.0
Northern Arizona,6586,E Washington,3414,0,37291.599999999875
St Francis PA,5930,F Dickinson,4070,0,20900.89999999996
Appalachian St,8316,Marshall,1684,0,87845.10000000024
James Madison,8619,Ga Southern,1381,0,97525.49999999945
Old Dominion,4947,Georgia St,5053,0,-1778.2999999999988
Penn,5464,Harvard,4536,0,9482.700000000052
UC San Diego,9827,Hawaii,173,0,189572.10000000554
Arkansas St,9877,ULM,123,0,200489.99999999913
N Colorado,8999,Idaho,1001,0,115800.9999999995
